0.1 0.1 8.5108e-05
0.1 0.2 0.000170132
0.1 0.3 0.000254988
0.1 0.4 0.000339593
0.1 0.5 0.000423862
0.1 0.6 0.000507713
0.1 0.7 0.000591063
0.1 0.8 0.000673829
0.1 0.9 0.000755931
0.1 1 0.000837287
0.1 1.1 0.000917816
0.1 1.2 0.00099744
0.1 1.3 0.00107608
0.1 1.4 0.00115366
0.1 1.5 0.00123009
0.1 1.6 0.00130532
0.1 1.7 0.00137926
0.1 1.8 0.00145183
0.1 1.9 0.00152297
0.1 2 0.00159261
0.1 2.1 0.00166068
0.1 2.2 0.00172711
0.1 2.3 0.00179184
0.1 2.4 0.00185479
0.1 2.5 0.00191592
0.1 2.6 0.00197515
0.1 2.7 0.00203244
0.1 2.8 0.00208772
0.1 2.9 0.00214094
0.1 3 0.00219205
0.1 3.1 0.00224099
0.1 3.2 0.00228772
0.1 3.3 0.00233219
0.1 3.4 0.00237437
0.1 3.5 0.0024142
0.1 3.6 0.00245164
0.1 3.7 0.00248667
0.1 3.8 0.00251924
0.1 3.9 0.00254933
0.1 4 0.0025769
0.1 4.1 0.00260193
0.1 4.2 0.00262439
0.1 4.3 0.00264426
0.1 4.4 0.00266152
0.1 4.5 0.00267616
0.1 4.6 0.00268815
0.1 4.7 0.00269749
0.1 4.8 0.00270417
0.1 4.9 0.00270818
0.1 5 0.00270952
0.1 5.1 0.00270818
0.1 5.2 0.00270417
0.1 5.3 0.00269749
0.1 5.4 0.00268815
0.1 5.5 0.00267616
0.1 5.6 0.00266152
0.1 5.7 0.00264426
0.1 5.8 0.00262439
0.1 5.9 0.00260193
0.1 6 0.0025769
0.1 6.1 0.00254933
0.1 6.2 0.00251924
0.1 6.3 0.00248667
0.1 6.4 0.00245164
0.1 6.5 0.0024142
0.1 6.6 0.00237437
0.1 6.7 0.00233219
0.1 6.8 0.00228772
0.1 6.9 0.00224099
0.1 7 0.00219204
0.1 7.1 0.00214094
0.1 7.2 0.00208772
0.1 7.3 0.00203244
0.1 7.4 0.00197515
0.1 7.5 0.00191592
0.1 7.6 0.00185479
0.1 7.7 0.00179183
0.1 7.8 0.00172711
0.1 7.9 0.00166068
0.1 8 0.00159261
0.1 8.1 0.00152297
0.1 8.2 0.00145183
0.1 8.3 0.00137926
0.1 8.4 0.00130532
0.1 8.5 0.00123009
0.1 8.6 0.00115366
0.1 8.7 0.00107608
0.1 8.8 0.000997439
0.1 8.9 0.000917816
0.1 9 0.000837286
0.1 9.1 0.000755931
0.1 9.2 0.000673829
0.1 9.3 0.000591062
0.1 9.4 0.000507713
0.1 9.5 0.000423862
0.1 9.6 0.000339592
0.1 9.7 0.000254988
0.1 9.8 0.000170132
0.1 9.9 8.51079e-05
0.2 0.1 8.51074e-05
0.2 0.2 0.000170131
0.2 0.3 0.000254986
0.2 0.4 0.00033959
0.2 0.5 0.000423859
0.2 0.6 0.00050771
0.2 0.7 0.000591059
0.2 0.8 0.000673825
0.2 0.9 0.000755926
0.2 1 0.000837281
0.2 1.1 0.00091781
0.2 1.2 0.000997433
0.2 1.3 0.00107607
